question_id,gpt0_final,gpt0_conf,gpt1_final,gpt1_conf,gpt2_final,gpt2_conf,gpt3_final,gpt3_conf,gpt4_final,gpt4_conf
28336,0.1,99.9,0.1,99.9,0.1,99.9,0.1,99.9,0.1,99.9
28335,95.0,90.0,92.5,90.0,90.0,80.0,90.0,95.0,95.0,90.0
28334,15.0,85.0,25.0,80.0,25.0,75.0,35.0,80.0,30.0,70.0
28306,85.0,85.0,78.0,80.0,75.0,80.0,75.0,80.0,82.5,85.0
28305,15.0,85.0,20.0,80.0,20.0,80.0,15.0,85.0,20.0,80.0
28304,20.0,75.0,20.0,80.0,20.0,80.0,10.0,90.0,25.0,90.0
28303,35.0,85.0,20.0,90.0,30.0,85.0,35.0,65.0,80.0,90.0
28302,30.0,90.0,30.0,70.0,90.0,92.0,30.0,85.0,30.0,90.0
28301,65.0,70.0,75.0,90.0,74.25,85.0,85.0,85.0,68.0,95.0
28300,45.0,70.0,15.0,85.0,15.0,85.0,25.0,65.0,10.0,90.0
28292,65.0,70.0,58.5,75.0,67.5,80.0,55.0,75.0,72.5,80.0
28291,90.0,90.0,65.0,85.0,75.0,80.0,80.0,75.0,80.0,80.0
28290,80.0,60.0,75.0,80.0,75.0,85.0,65.0,80.0,75.0,85.0
28245,55.0,65.0,62.45,75.0,75.0,80.0,40.0,75.0,70.0,80.0
28244,60.0,75.0,70.0,80.0,70.0,80.0,75.8,80.0,65.0,70.0
28243,20.0,80.0,15.0,85.0,15.0,85.0,15.0,85.0,15.0,80.0
28210,15.0,85.0,10.0,80.0,10.0,75.0,10.0,90.0,20.0,75.0
28209,30.0,75.0,25.0,90.0,15.0,75.0,35.0,80.0,40.0,70.0
28208,5.0,85.0,15.0,90.0,15.0,85.0,10.0,75.0,10.0,85.0
28207,35.0,60.0,53.0,70.0,40.0,70.0,40.0,50.0,45.0,70.0
28206,70.0,80.0,65.0,75.0,70.0,85.0,75.0,80.0,60.0,65.0
