question_id,claude0_prob,claude1_prob,claude2_prob,claude3_prob,claude4_prob
28336,0.1,0.01,0.1,,
28335,12.45,12.45,12.45,,
28334,32.45,83.75,78.32,,
28306,82.45,72.35,82.35,,
28305,12.45,72.35,22.35,,
28304,27.35,27.8,78.32,,
28303,78.45,72.35,82.37,,
28302,82.45,78.45,72.35,,
28301,72.35,72.45,73.45,,
28300,15.2,12.35,12.45,,
28292,42.3,42.3,42.3,,
28291,12.35,15.32,12.35,,
28290,65.3,15.25,85.5,,
28245,12.45,22.45,32.45,,
28244,82.45,82.35,87.32,,
28243,15.25,12.45,15.25,,
28210,15.25,12.45,12.45,,
28209,32.45,35.2,42.35,,
28208,12.45,12.37,12.45,,
28207,42.35,42.75,42.35,,
28206,82.45,82.45,82.45,,
28205,82.35,82.35,25.0,,
28204,91.23,92.45,83.45,,
28156,15.2,12.45,92.35,,
28155,78.45,32.45,27.35,,
28154,3.25,0.5,0.5,,
28070,52.3,52.4,52.4,,
28069,85.5,85.5,85.5,,
28046,85.0,82.5,91.25,,
28045,89.75,87.5,72.45,,
28044,12.45,22.15,12.45,,
28043,72.45,22.15,12.45,,
28042,33.75,33.75,34.75,,
28041,22.35,27.35,15.25,,
28040,22.45,27.35,22.45,,
28039,42.15,37.5,42.75,,
28038,42.5,42.5,35.25,,
28037,65.3,65.5,65.3,,
28024,78.32,32.45,15.0,,
28022,32.15,78.32,78.32,,
28021,42.15,48.75,48.32,,
28020,82.35,78.32,78.42,,
28008,6.35,6.35,52.3,,
28007,82.45,62.73,82.45,,
28006,12.45,12.35,12.45,,
27969,32.15,15.2,28.45,,
27968,78.32,82.45,78.42,,
27967,12.45,22.15,12.35,,
27966,12.45,15.2,12.45,,
27935,12.45,12.45,12.45,,
27934,17.1,12.45,17.1,,
27933,12.45,17.1,82.35,,
27932,82.35,82.45,22.35,,
27920,15.25,15.25,15.25,,
27919,82.45,37.8,32.45,,
27918,85.2,15.2,85.2,,
27914,78.25,78.32,78.25,,
27913,22.5,15.5,25.5,,
27912,12.35,12.45,12.45,,
27911,12.45,12.35,15.25,,
27897,15.5,15.32,15.25,,
27895,12.5,97.8,12.5,,
27887,22.75,18.75,18.75,,
27886,78.35,82.45,78.35,,
