question_id,gpt0_prob,gpt1_prob,gpt2_prob,gpt3_prob,gpt4_prob
28336,0.01,0.1,0.01,0,0.01
28335,32.45,35.67,35.67,48.73,65.32
28334,45.25,45.23,42.75,35.47,30.25
28306,62.3,72.5,28.75,72.35,65.3
28305,78.65,58.75,75.23,75.23,35.75
28304,42.3,42.7,65.2,42.75,68.75
28303,35.75,65.4,47.85,35.67,67.89
28302,65.32,35.67,42.75,67.5,40.75
28301,68.75,70.35,68.75,32.45,62.75
28300,35.45,23.67,23.45,23.75,35.72
28292,48.75,48.73,45.67,75.32,78.45
28291,75.34,35.25,35.75,23.45,25.35
28290,35.75,35.2,65.3,35.25,35.67
28245,75.34,35.75,35.75,72.35,30.25
28244,75.32,85.75,85.75,85.75,42.75
28243,20,15.35,35.75,45.67,20.35
28210,35.47,35.75,38.67,35.67,23.45
28209,45.67,45.67,65.75,48.75,45.67
28208,35.67,30.25,32.45,42.75,35.67
28207,45.67,42.75,42.75,45.67,45.72
28206,85.75,78.25,72.35,85,75.32
28205,78.45,65.43,75.34,67.85,72.85
28204,42.37,78.92,30.75,75.6,85
28156,35.75,35.67,35.67,85.67,30.25
28155,45.67,48.75,42.35,42.35,45.67
28154,23.45,35.67,35.67,35.72,22.45
28070,62.75,55.67,68.75,65.75,68.75
28069,35.75,35.2,35.75,75,35.67
28046,35.67,35.67,35.75,20.35,35.67
28045,28,28,28,27.8,28
28044,28,28,28,28,28
28043,30,31.4,62.75,30,30
28042,32,32,32,32,32
28041,75.32,38.65,65.3,37.25,65.3
28040,78.45,42.75,42.35,42.75,42.75
28039,35.67,37.25,67.89,62.34,37.45
28038,75.32,62.35,34.87,62.35,65.75
28037,38.75,42.35,65.43,78.32,45.32
28024,35.67,65.75,45.67,45.23,40.25
28022,85.45,45.67,75,45.67,35.67
28021,45.67,47.35,62.45,55,47.35
28020,72.35,65,35.67,32.45,35.67
28008,45.67,6.35,48.75,6.36,45.67
28007,45.67,45.78,47.85,47.85,42.75
28006,35.75,35.67,45.67,35.75,15.75
27969,43.25,45.25,35.75,42.75,68.75
27968,45.67,75,72.35,78.45,65.75
27967,35.2,35.75,35.45,35.25,35.27
27966,35.75,25.67,30.25,30.25,15.3
27935,18,18,18,45.78,18
27934,54.32,72.35,45.67,17,17.5
27933,65.3,16.8,42.7,62.5,16.5
27932,48.75,72.35,42.35,35.2,15.9
27920,35.67,35.75,35.67,35.75,35.78
27919,65.3,42.75,25.75,33.45,35.67
27918,75.32,23.75,35.47,23.45,35.75
27914,45.67,45.32,45.67,42.35,42.35
27913,45.3,35.67,35.25,45.67,45.3
27912,42.75,35.75,35.67,45.67,35.75
27911,35.6,65,75.35,25.75,35.2
27897,35.67,35.67,35.67,35.25,35.75
27895,35.75,15.75,28.73,15.32,25.67
27887,25.3,37.45,42.75,42.75,35.25
27886,85.75,75.32,75.23,75.45,78.34
27885,20.45,35.75,35.75,35.25,35.75
27877,75.34,35.2,65.75,67.45,72.34
27876,72.45,65.75,45.32,85.67,65.75
27804,75.85,65.4,65.75,72.35,35.67
27791,72.45,42.75,43.75,65.75,65.25
27790,35.67,42.75,35.75,35.67,65
27789,35.67,65.32,27.35,42.75,78.45
27788,67.89,35.67,48.75,65.75,62.75
27749,35.67,55.75,55.25,35.67,35.25
27748,35.75,25.67,15.25,35.62,62.3
27747,45.32,47.35,54.25,45.76,45.67
27746,65.32,75.25,65.75,65.32,65.75
27745,45.75,45.75,40.25,45.35,42.35
27733,32.75,35.42,35.42,35.75,35.67
27732,65.75,65.45,65.32,35.75,35.67
27723,35.67,35.75,35.42,35.25,35.25
27722,15.32,25.67,15.75,22.45,15.25
27721,35.45,42.75,65.75,35.67,35.2
27720,35.42,35.45,15.75,35.25,35.72
27640,65.75,37.82,35.25,35.25,35.67
27639,68.75,45.67,72.34,68.75,65.75
27638,35.67,68.75,62.35,30.25,65.75
27637,25.75,35.67,35.25,35.75,15.32
27610,35.75,35.75,15.75,35.67,42.75
27609,35.75,35.25,35.67,35.75,65.75
27608,42.75,35.4,35.72,35.25,42.75
27607,42.75,35.25,45.23,65.5,45.67
27606,45.67,42.75,47.85,42.75,42.35
27605,32.45,35.42,18.75,67.45,35.67
27604,55.67,35.72,37.25,35.47,35.45
27603,38.75,35.25,35.75,35.75,12.35
27602,62.35,35.75,30.25,25.35,35.67
27584,45.78,35.67,34.7,28.45,14.25
27583,35.72,45.67,35.47,42.35,72.34
27582,35.75,65.75,38.45,35.75,35.67
27581,35.75,35.75,35.75,35.75,35.42
27576,32.45,32.75,35.72,42.35,35.7
27548,12.34,12.34,15.75,15.67,25.67
27547,35.67,28.75,12.45,23.45,15.75
27546,15.25,15.23,23.45,12.34,12.75
27545,12.75,12.34,15.67,12.34,12.34
27539,3.75,3.76,1.37,12.34,4.75
27538,23.45,12.75,34.87,23.45,23.45
27524,45.67,35.75,35.25,38.75,35.67
27523,65.75,35.75,65,35.45,35.76
27522,1.25,0.3,0.3,0.3,0.3
27521,42.75,45.67,65.75,35.42,35.72
27515,42.75,42.75,78.65,45.75,72.85
27493,0.5,0.5,65.75,0.5,65.32
27492,65.23,0.4,0.4,0.4,0.4
27491,0.3,0.3,0.3,0.3,0.3
27490,65.75,0.2,0.2,0.2,0.2
27489,0.1,72.34,0.1,0.1,37.45
27488,62.35,0,35.75,0,35
27487,72.35,35.75,42.35,72.45,42.35
27486,35.75,32.45,35.7,35.7,35.75
27485,47.35,45.67,35.75,35.75,47.85
27484,65.35,65.2,65.3,72.45,62.75
27447,35.67,67.45,65,62.35,63.75
27283,35.75,48.75,40.35,35.67,35.75
27282,15.23,15.75,15.25,12.34,15.37
27281,47.89,35.67,32.47,35.47,35.67
27279,25,35.25,25,25.75,15.27
27278,35.67,35.42,32.75,62.35,42.35
27277,35.75,20.75,32.45,35.67,22.35
27263,42.67,42.35,65.32,42.37,42.35
27262,35.67,35.67,68.75,42.75,42.37
27261,42.75,42.75,42.75,38.25,45.67
27260,42.35,32.75,35.42,35.4,42.35
27259,25.75,35.75,15.75,35.75,35.75
27258,35.25,35.67,43.25,35.72,35.42
27248,35.75,42.75,35.75,25.3,42.35
27241,68.75,47.85,60,65.75,45.23
27240,62.45,42.35,35.67,65.32,50
27239,40,40,35.67,37.82,47.65
27238,45.32,42.3,35.75,35.72,42.7
27223,35.25,35.67,35.75,75.32,35.25
27222,95.67,35.67,46.32,85.75,65.32
27221,22.35,12.45,25.43,30.25,12.34
27220,72.35,35.45,35.67,42.35,35.67
27219,85.75,35.67,92.75,92.75,23.45
27200,15.32,65.75,30.25,15.75,15.75
27161,35.76,35.75,35.75,35.75,35.2
27160,35.47,42.75,42.3,35.45,42.75
27159,35.67,23.45,25,35.75,25.37
27158,35.67,15.75,15.67,15.75,12.34
27157,42.37,37.45,45.67,35.67,35.25
27141,42.75,42.75,35.42,42.35,42.75
27140,35.72,65.32,65.32,67.85,68.75
27138,47.85,45.67,62.35,45.67,42.75
27137,15.75,38.75,35.67,35.25,25.45
27136,12.34,35.75,35.75,35.67,35.67
27135,35.67,65.3,35.67,38.75,45.67
27134,62.35,42.35,45.67,45.67,65.32
27133,35.67,23.47,35.67,15.23,28.75
27132,35.75,35.67,35.75,35.67,35.67
27089,65.32,65,65.3,68.75,65
27088,12.34,23.45,25.67,35.75,15.23
27087,40.25,35.75,35.76,35.67,35.75
27086,45.32,75.3,45.67,75.65,35.67
27085,23.5,22.5,15.3,35.4,35.7
27039,35.75,35.75,35.75,35.78,25.75
27022,85.67,75,82.67,20.35,85
27021,65.75,62.75,65.75,65.75,75.35
27020,35.67,35.67,42.75,35.67,35.75
27019,0.01,15.23,12.34,15.75,15.25
27018,47.35,65.34,35.42,28.45,35.42
27017,12.34,65.8,15.25,15.25,15.67
26986,25.75,35.67,30.25,35.67,35.42
26985,35.67,68.75,45.67,42.75,42.35
26984,35.72,35.75,35.67,35.27,47.85
26983,45.67,62.75,45.67,35.67,35.67
26982,45.23,75.32,75.6,35.25,38.75
26981,45.67,75,75.3,45.67,75.23
