question_id,claude0_prob,claude1_prob,claude2_prob,claude3_prob,claude4_prob
28336,0.1,0.1,0.1,0.1,0.1
28335,12.3,12.3,12.4,22.45,12.3
28334,37.8,83.7,87.5,78.5,78.5
28306,72.3,72.3,82.0,82.3,82.0
28305,35.0,32.0,32.4,32.45,32.4
28304,27.3,32.15,32.5,32.4,32.4
28303,32.45,22.5,32.4,32.45,32.4
28302,32.45,32.15,32.5,32.4,32.4
28301,22.5,32.45,37.8,32.45,32.5
28300,15.0,12.5,15.75,12.5,23.45
28292,43.2,42.0,45.2,42.3,42.0
28291,12.35,15.32,15.23,15.2,15.0
28290,22.45,32.45,32.45,22.45,32.45
28245,15.3,32.45,82.4,32.45,82.3
28244,32.5,32.45,82.5,32.45,22.45
28243,15.3,12.5,32.5,22.5,15.5
28210,22.4,32.4,22.5,32.4,32.4
28209,42.8,42.3,42.8,42.8,32.5
28208,32.4,22.45,22.35,32.5,32.5
28207,42.8,42.8,72.5,42.8,32.5
28206,82.5,83.7,82.5,82.45,83.7
28205,78.4,82.5,82.3,78.5,78.4
28204,92.45,42.3,72.4,42.3,72.4
28156,15.0,15.0,15.0,12.5,15.0
28155,32.5,35.5,35.5,42.3,32.5
28154,3.2,3.25,3.2,2.3,2.3
28070,62.8,67.3,52.3,52.3,52.3
28069,72.45,82.45,82.45,32.45,82.35
28046,32.0,72.0,82.0,82.0,82.5
28045,82.5,73.0,72.5,72.5,28.0
28044,30.0,32.0,30.0,30.0,15.0
28043,27.8,32.0,72.3,22.3,27.0
28042,78.4,34.0,47.3,34.8,34.8
28041,32.45,27.5,22.45,12.45,72.5
28040,37.5,22.45,22.15,32.45,37.25
28039,67.8,37.25,37.25,71.23,32.45
28038,42.35,67.8,42.35,65.3,32.75
28037,42.75,72.5,72.5,72.5,72.35
28024,78.5,42.8,78.5,78.5,82.3
28022,32.45,32.45,32.45,32.15,32.45
28021,42.3,48.2,48.75,42.5,42.3
28020,78.5,72.3,78.5,78.5,78.5
28008,48.3,72.3,72.3,72.3,48.2
28007,82.5,67.8,62.8,82.5,82.5
28006,72.35,78.5,78.5,72.35,72.45
27969,32.4,32.45,32.45,32.45,32.4
27968,73.8,72.3,78.45,78.5,78.5
27967,32.45,37.8,32.4,32.45,32.5
27966,12.5,15.5,12.8,12.45,12.5
27935,72.3,73.4,72.3,17.1,17.1
27934,17.4,32.0,72.3,72.3,82.5
27933,17.1,82.5,72.3,72.3,16.8
27932,17.1,72.3,82.3,82.3,72.3
27920,32.4,32.0,23.45,32.5,32.5
27919,82.0,82.0,82.0,28.4,78.5
27918,82.0,85.0,32.5,82.5,85.0
27914,82.45,72.5,78.5,78.5,78.5
27913,32.45,28.5,32.45,32.45,32.45
27912,22.45,32.4,32.7,32.15,32.45
27911,15.23,15.25,15.5,15.2,15.32
27897,15.5,22.5,22.5,22.0,15.32
27895,12.5,12.3,12.5,12.5,12.5
27887,32.45,32.5,32.45,32.45,32.45
27886,78.5,78.5,78.35,78.5,78.5
27885,15.25,15.2,12.45,15.2,15.32
27877,32.45,32.4,32.45,32.7,32.45
27876,37.8,37.8,37.8,37.8,37.8
27804,78.5,82.3,72.45,78.5,78.5
27791,85.0,82.5,82.5,82.5,72.35
27790,32.45,22.45,32.45,12.3,32.45
27789,32.4,32.4,12.45,12.45,12.45
27788,42.5,42.3,42.3,32.4,32.5
27749,22.35,12.5,18.5,32.5,32.5
27748,12.45,12.3,12.4,12.3,12.45
27747,42.75,37.8,32.15,32.5,42.8
27746,65.5,65.4,72.5,65.4,62.0
27745,32.5,32.5,32.5,32.5,32.5
27733,32.5,15.5,22.5,32.5,32.5
27732,72.3,32.45,32.45,32.5,78.5
27723,15.5,15.3,12.45,12.5,12.45
27722,12.5,12.45,12.5,12.5,12.5
27721,42.8,82.5,82.5,72.35,82.5
27720,42.3,42.3,42.3,32.7,78.5
27640,78.5,78.5,78.4,78.5,78.3
27639,72.5,72.0,71.23,37.8,42.8
27638,12.45,12.45,32.4,12.3,32.45
27637,22.45,22.5,12.5,22.5,22.5
27610,12.3,12.4,12.3,12.4,12.3
27609,22.0,12.0,22.0,22.0,22.0
27608,32.0,12.3,32.0,12.3,32.0
27607,32.0,32.4,32.0,32.0,32.0
27606,32.0,32.0,32.0,32.0,32.0
27605,12.45,12.45,12.45,12.45,12.45
27604,12.5,12.5,12.5,12.5,12.5
27603,12.5,12.5,12.5,12.5,12.5
27602,12.5,12.5,12.5,27.5,12.5
27584,32.15,22.5,12.5,32.5,12.5
27583,32.15,32.5,32.5,22.45,12.5
27582,32.5,12.5,32.5,12.5,12.5
27581,35.5,78.5,32.45,32.4,32.5
27576,32.5,32.5,32.5,12.5,32.5
27548,12.5,12.5,2.3,12.5,12.3
27547,12.5,12.5,12.3,12.5,12.5
27546,12.3,12.5,12.5,12.5,12.5
27545,12.5,15.5,12.5,12.5,12.5
27539,4.3,4.2,4.32,4.3,2.8
27538,12.8,12.3,12.4,12.45,12.3
27524,15.3,15.0,32.5,22.5,32.0
27523,78.4,73.4,82.4,78.5,78.5
27522,0.4,0.4,0.3,0.4,0.3
27521,82.5,32.4,32.5,32.45,32.45
27515,32.5,32.45,32.5,32.45,32.5
27493,27.3,23.45,27.5,32.45,32.15
27492,22.5,0.4,12.45,22.5,12.35
27491,0.3,22.45,22.5,27.5,32.45
27490,32.45,0.3,42.3,42.15,32.45
27489,12.5,32.4,32.45,0.1,32.45
27488,22.45,12.45,12.45,12.45,32.45
27487,12.5,12.5,12.5,12.3,12.3
27486,12.45,12.45,12.45,12.45,12.75
27485,82.5,72.5,32.45,32.5,32.45
27484,82.5,78.5,82.3,78.5,78.5
27447,32.5,32.5,72.5,32.5,72.5
27283,37.8,32.4,37.8,22.5,32.4
27282,12.5,12.3,12.3,12.3,12.3
27281,12.3,32.0,200.0,32.4,12.3
27279,12.5,82.5,12.4,22.45,32.7
27278,82.5,78.5,72.3,42.3,78.5
27277,82.5,32.5,72.5,72.5,72.5
27263,37.8,32.15,37.8,32.7,32.0
27262,12.3,32.45,32.7,12.3,12.4
27261,72.45,72.3,72.3,72.3,72.35
27260,32.5,32.45,42.8,32.0,32.5
27259,27.3,22.4,32.4,12.3,12.3
27258,32.45,42.3,32.4,32.4,32.4
27248,12.3,32.5,72.5,32.5,32.5
27241,72.5,72.4,82.5,72.0,52.0
27240,42.35,72.4,72.5,82.5,72.5
27239,72.4,72.4,72.4,32.0,72.3
27238,32.4,32.7,32.15,32.7,32.4
27223,12.45,12.3,12.3,12.3,12.3
27222,78.5,78.5,82.5,82.5,82.5
27221,72.3,22.4,72.35,72.35,27.3
27220,78.5,73.4,82.45,78.5,72.4
27219,78.4,78.45,83.7,78.5,82.45
27200,12.5,12.5,12.5,12.5,12.5
27161,32.0,32.4,32.5,32.4,72.35
27160,82.5,72.5,72.5,72.5,42.5
27159,12.3,12.3,12.3,12.3,12.5
27158,12.45,2.1,12.45,2.1,2.3
27157,12.3,12.3,12.3,12.3,32.5
27141,22.5,32.5,22.5,32.5,22.5
27140,22.45,32.45,32.45,32.45,32.45
27138,32.45,32.45,32.4,32.45,32.4
27137,12.5,15.0,12.3,12.5,12.5
27136,9.5,9.5,12.5,12.0,12.4
27135,32.0,32.0,37.8,37.8,37.8
27134,65.2,45.2,45.2,45.0,45.2
27133,12.0,12.5,12.5,12.5,12.5
27132,37.8,32.0,35.0,72.3,32.0
27089,78.0,72.4,85.5,82.5,72.4
27088,12.45,8.5,2.3,3.25,8.75
27087,32.4,32.5,37.8,37.8,32.7
27086,32.45,82.3,82.0,82.5,82.3
27085,72.0,82.0,72.0,82.0,78.0
27039,27.5,27.5,27.5,22.5,22.4
27022,82.5,72.35,72.3,82.5,82.5
27021,62.37,42.3,42.3,42.0,65.8
27020,32.45,32.45,32.45,32.45,32.45
27019,12.0,12.5,2.5,12.5,12.5
27018,12.45,12.5,12.3,12.3,8.75
27017,2.15,12.5,2.1,2.1,12.45
26986,72.0,78.0,72.0,32.0,35.0
26985,72.0,72.0,72.0,78.5,32.0
26984,72.0,72.0,82.0,72.0,82.0
26983,72.0,72.0,72.0,82.0,78.0
26982,78.0,78.0,78.0,78.0,73.4
26981,78.0,78.5,82.0,82.0,78.0
26980,32.0,35.0,32.0,38.5,42.5
26979,42.8,72.0,42.8,82.45,72.0
26978,65.3,65.0,62.5,72.0,65.0
26977,65.0,72.5,35.0,72.0,72.5
26976,32.5,32.4,32.5,32.45,32.4
26975,12.5,12.5,12.45,12.5,12.5
26959,12.5,12.0,15.0,12.0,12.3
26958,78.5,78.5,78.5,78.4,78.5
26957,42.8,78.5,37.8,37.8,32.5
26918,72.3,32.4,32.4,22.7,32.45
26916,42.3,42.0,42.0,42.0,42.0
26915,42.0,45.0,42.0,42.3,42.0
26914,32.4,32.4,42.0,65.4,82.0
26913,42.3,42.0,42.0,45.0,42.0
26844,12.3,12.3,12.45,12.3,12.35
26842,32.0,32.45,32.45,32.5,32.45
26841,72.4,78.45,78.45,32.45,32.45
26840,42.3,32.4,32.4,32.5,32.0
26839,78.0,82.0,82.0,82.0,85.0
26838,82.3,32.5,42.3,72.4,72.45
26837,12.3,12.3,12.35,12.3,12.3
26821,12.3,15.25,22.45,12.5,15.5
26820,12.3,12.4,12.3,12.3,12.3
26819,12.3,12.0,12.45,12.3,12.3
26818,82.5,82.5,82.5,82.5,82.5
26817,12.5,12.5,12.5,12.5,12.5
26816,12.45,22.5,12.45,12.3,12.45
26781,28.0,32.0,32.0,32.0,32.0
26780,32.4,32.4,32.7,32.4,32.7
26779,72.3,72.3,32.5,62.0,32.5
26778,42.3,72.0,42.3,72.5,72.5
26777,72.5,72.0,72.5,82.5,72.0
26776,65.3,72.3,72.3,52.3,52.3
26775,12.5,12.5,15.3,15.0,8.5
26774,12.5,12.5,12.5,8.5,12.5
26773,12.5,23.5,12.5,12.5,23.5
26772,32.5,32.5,32.5,23.45,32.5
26771,78.5,82.5,78.5,78.5,78.5
26706,32.45,32.45,32.45,32.45,32.45
26705,82.5,82.0,42.8,78.5,82.0
26704,82.4,82.3,42.8,82.45,72.3
26703,12.45,12.5,12.45,12.3,12.5
26702,32.45,32.45,32.45,72.4,32.45
26701,72.45,32.45,72.35,32.15,78.35
26700,82.35,82.35,82.45,27.0,83.7
26683,32.0,31.2,32.5,32.0,38.0
26671,32.0,32.0,32.0,32.0,32.0
26670,22.5,22.5,32.5,72.5,22.45
26669,12.5,12.5,12.5,12.5,12.5
26668,82.5,12.5,82.5,82.5,82.5
26667,12.3,12.3,12.45,12.34,12.3
26666,12.5,12.5,12.3,12.3,12.4
26665,32.5,12.5,12.5,12.5,12.5
26646,12.4,23.45,32.4,12.5,22.5
26645,32.45,32.0,32.5,32.5,32.5
26644,27.35,32.4,82.45,72.35,22.45
26643,78.5,82.45,78.32,82.5,82.45
26642,82.5,92.4,72.45,92.3,82.5
26641,82.5,82.5,82.0,82.3,82.0
26640,12.5,12.3,12.3,12.3,12.3
26639,12.35,12.3,12.5,12.5,12.5
26638,32.5,32.5,32.0,32.45,32.0
26577,32.4,27.3,12.5,22.45,32.4
26576,12.5,32.45,12.45,22.5,32.45
26575,32.5,75.0,15.0,32.4,32.4
26573,32.0,32.5,12.45,32.0,15.5
26572,72.45,72.35,37.5,73.4,62.8
26571,32.5,32.5,72.5,32.5,32.5
26570,32.5,23.45,32.4,12.5,32.5
26569,42.3,42.3,82.5,82.4,42.8
26568,78.3,78.4,78.5,32.4,32.45
26555,65.3,65.3,42.3,65.4,42.5
26554,32.4,22.45,22.4,32.5,12.3
26553,78.5,78.5,87.5,83.7,82.0
26552,12.45,12.5,12.45,12.5,12.5
26551,35.75,35.2,35.0,32.0,32.5
26408,15.3,15.5,22.45,12.5,22.45
26407,32.0,22.0,22.0,22.0,32.0
26406,22.0,22.5,28.2,32.0,32.4
26405,72.5,82.5,78.5,72.3,72.3
26404,35.0,85.5,85.5,82.5,85.0
26392,32.45,22.4,22.4,32.4,32.45
26391,32.45,32.45,32.5,32.45,32.45
26390,12.4,12.45,22.45,12.45,32.4
26389,3.0,32.45,27.5,72.5,32.45
26388,32.5,42.0,42.3,32.4,32.45
26387,42.8,32.45,42.8,42.3,42.5
26307,65.0,72.0,72.0,71.2,72.3
26306,32.45,32.4,32.0,32.0,32.4
26305,32.0,12.35,32.0,22.0,32.0
26304,42.8,78.5,32.0,32.5,42.8
26303,32.45,37.8,37.8,37.8,32.7
26302,12.3,12.3,12.4,12.5,12.3
26236,61.8,65.8,62.0,67.8,67.5
26235,12.3,32.0,32.0,22.0,12.3
26234,32.0,12.5,12.35,12.3,12.5
26233,85.0,82.5,85.5,82.5,82.5
26232,12.45,12.45,12.45,12.45,12.45
26216,32.45,32.7,32.4,32.15,72.3
26215,4.8,3.2,4.8,4.82,4.2
26214,12.3,12.4,32.45,12.3,12.4
26213,82.3,82.3,82.3,82.3,72.4
26212,32.4,32.4,32.4,32.4,22.4
26211,92.0,89.7,82.5,85.5,85.0
26196,78.5,73.4,32.45,32.4,32.5
26195,78.5,78.5,72.3,82.5,82.5
26194,82.5,82.5,82.0,93.7,82.5
26193,32.45,15.25,32.45,22.0,32.45
26192,12.5,89.75,12.0,12.5,12.5
26191,32.45,32.45,32.8,22.7,32.15
26189,65.0,65.0,82.5,65.0,65.0
26159,78.5,72.3,78.5,78.5,72.3
26158,72.45,72.3,72.3,37.8,42.8
26157,37.8,37.8,37.8,72.4,72.4
26140,12.45,12.3,8.3,12.35,12.45
26139,82.5,42.5,72.5,72.5,72.4
26138,67.8,63.7,67.8,65.8,63.7
26134,32.5,32.5,32.5,35.2,32.5
26133,32.5,82.5,72.0,32.5,72.5
26102,72.3,78.5,82.5,82.5,82.5
26101,32.45,32.45,32.5,32.45,32.45
26100,12.5,9.5,9.5,12.5,12.4
26099,12.45,12.45,12.45,12.45,12.45
26098,23.45,12.5,72.4,32.4,32.45
26097,32.4,32.45,32.45,32.4,32.4
26096,32.45,32.45,32.45,32.4,32.45
26095,32.5,12.45,12.4,12.5,12.5
26024,32.45,35.25,32.4,32.45,32.45
26023,72.5,72.5,72.3,72.8,72.35
26022,32.0,32.0,32.5,72.3,32.0
26021,12.45,12.4,12.5,12.35,22.3
26020,32.4,32.45,42.3,38.75,42.3
26019,71.3,42.3,32.4,32.4,32.4
26018,23.4,12.5,22.5,12.3,12.45
26017,32.4,12.4,42.3,32.5,32.5
26006,73.4,72.4,72.5,78.5,78.5
26005,72.35,22.45,72.5,22.4,12.45
26004,32.4,72.35,73.4,82.3,72.35
25960,12.3,12.3,12.3,12.3,12.3
25959,12.5,12.3,12.45,8.75,12.35
25958,42.3,42.3,42.3,42.3,42.3
25957,42.5,72.3,62.8,42.3,42.3
25956,2.3,12.35,12.3,2.3,12.5
25955,32.0,32.5,32.5,37.8,32.5
25954,12.3,12.3,12.5,12.3,12.3
25953,32.0,32.7,32.0,32.5,32.0
25952,32.7,12.3,12.4,32.5,12.35
25936,32.5,32.5,22.0,22.5,32.5
25935,12.5,12.5,12.5,12.45,12.5
25934,12.5,12.5,12.5,12.5,12.5
25933,32.45,32.15,32.45,32.45,32.4
25875,12.3,12.3,12.3,12.3,12.5
25874,72.3,72.3,72.3,72.3,27.3
25873,72.3,22.5,12.3,12.45,22.5
25872,42.3,42.8,32.45,42.3,42.3
25871,32.45,42.8,32.45,32.4,42.3
