question_id,claude0_min,claude0_max,claude0_final,claude1_min,claude1_max,claude1_final,claude2_min,claude2_max,claude2_final,claude3_min,claude3_max,claude3_final,claude4_min,claude4_max,claude4_final
28336,0.1,0.5,0.1,0.0,0.0,0.0,0.1,0.1,0.0,65.5,82.75,74.25,0.1,0.5,0.1
28335,90.0,99.9,97.5,92.5,97.5,95.25,95.5,99.9,97.75,95.5,99.9,98.75,94.5,99.9,98.75
28334,12.5,27.75,18.4,12.5,27.75,18.9,27.5,37.8,32.75,37.5,62.4,48.75,22.5,35.75,29.4
28306,75.0,90.0,82.5,75.0,90.0,82.5,75.0,90.0,82.5,85.0,95.0,90.5,70.0,85.0,78.5
28305,10.0,25.0,15.5,15.0,30.0,22.5,10.0,30.0,20.5,15.0,35.0,25.5,20.0,35.0,27.5
28304,75.0,90.0,82.5,15.0,25.0,19.5,75.0,90.0,82.5,85.5,92.3,88.75,20.0,45.0,32.5
28303,75.0,90.0,82.5,10.0,30.0,15.5,75.0,90.0,82.5,40.5,62.3,51.75,35.0,55.0,45.5
28302,40.5,59.5,49.75,20.0,40.0,29.5,30.0,45.0,37.5,60.0,85.0,72.5,40.0,60.0,52.5
28301,65.5,84.75,76.3,65.5,87.3,76.4,62.5,87.5,75.25,65.5,84.3,76.4,65.5,84.3,76.4
28300,15.5,37.8,26.4,3.5,12.75,7.25,2.5,7.5,4.25,3.5,12.75,7.25,22.5,37.5,29.75
28292,55.5,72.3,64.75,55.5,72.3,63.75,55.5,72.3,63.75,60.0,75.0,68.5,55.5,72.3,64.2
28291,70.0,85.0,77.5,40.0,55.0,47.5,62.5,77.5,70.25,70.0,75.0,72.5,65.5,82.3,74.2
28290,87.5,96.75,92.35,55.0,75.0,65.5,65.5,82.3,74.2,65.0,85.0,75.5,52.5,65.4,58.75
28245,65.0,85.0,75.5,60.5,89.75,78.33,70.5,89.9,82.25,55.5,78.3,67.4,65.5,84.3,76.4
28244,30.0,45.0,37.5,40.5,62.75,51.6,55.5,82.3,68.75,20.0,40.0,30.0,45.5,64.3,55.4
28243,15.0,35.0,22.5,25.5,47.3,36.4,22.5,47.3,35.4,22.5,37.8,30.25,5.5,15.5,9.9
28210,15.0,35.0,25.5,15.0,35.0,25.5,35.5,52.75,44.25,35.0,55.0,45.5,25.5,47.3,36.4
28209,15.0,35.0,25.5,35.0,55.0,45.5,15.0,35.0,25.5,22.5,47.75,35.4,15.0,35.0,25.5
28208,25.5,47.75,36.25,25.0,45.0,35.5,35.0,55.0,45.5,25.5,46.75,35.4,35.5,59.75,47.25
28207,15.0,35.0,25.5,35.0,55.0,42.75,35.0,55.0,45.5,25.0,45.0,35.5,22.5,37.75,29.9
28206,70.25,89.5,81.35,65.0,85.0,75.5,70.5,89.75,82.3,65.0,85.0,75.5,62.5,77.5,70.25
28205,75.5,92.3,86.4,62.5,87.5,75.25,75.5,92.3,85.4,65.5,84.75,76.25,55.0,85.0,75.0
28204,62.5,77.25,69.75,87.5,94.2,91.35,85.5,94.3,91.2,85.5,94.7,91.25,85.5,94.5,90.25
28156,85.0,95.0,92.5,10.0,25.0,15.5,85.0,95.0,92.5,15.5,35.75,24.35,10.0,25.0,15.5
28155,55.5,72.3,64.7,45.5,62.75,54.3,82.5,90.25,87.4,65.5,82.3,74.2,45.5,62.3,54.7
28154,0.1,2.0,0.5,0.1,2.0,0.5,0.1,2.5,0.5,0.1,1.0,0.5,0.1,2.0,0.5
28070,65.5,74.3,69.75,55.1,64.9,59.75,62.5,72.5,67.75,52.5,62.5,57.75,55.5,64.75,59.9
28069,55.0,75.0,65.5,52.0,68.5,61.75,35.5,62.75,48.9,35.5,55.75,45.6,15.0,35.0,25.5
28046,70.0,85.0,77.5,65.0,85.0,76.5,65.0,85.0,75.5,65.5,84.3,76.4,80.5,92.75,86.4
28045,26.5,28.5,27.2,26.5,28.5,27.2,24.5,28.0,27.0,26.5,28.0,27.2,25.5,28.9,27.2
28044,27.5,29.5,28.7,27.5,29.9,28.75,26.5,30.2,28.4,27.5,29.9,28.2,26.5,29.9,27.8
28043,30.1,31.9,30.75,27.5,31.5,29.8,27.5,31.5,29.8,28.5,32.4,30.75,27.5,31.5,29.9
28042,27.5,32.4,30.25,27.5,32.5,30.25,24.5,29.9,27.2,27.5,31.9,29.75,24.5,29.9,27.3
28041,25.0,45.0,35.5,35.0,55.0,45.5,25.5,45.75,35.25,40.5,65.75,52.3,35.5,62.75,48.25
28040,8.5,17.9,12.3,5.5,15.75,9.25,10.5,25.75,17.25,35.5,52.4,44.3,15.5,32.75,24.3
28039,25.5,42.75,34.6,35.0,55.0,42.75,15.0,25.0,19.5,42.5,47.75,45.2,15.5,32.75,24.3
28038,27.5,37.5,32.75,7.5,22.5,15.25,15.0,35.0,25.5,38.5,44.75,41.25,20.5,35.75,28.4
28037,40.5,65.75,52.3,35.5,62.75,48.9,45.5,60.75,50.25,35.5,52.75,44.25,25.5,45.75,35.4
28024,65.0,85.0,75.5,65.5,84.75,76.33,65.0,85.0,75.5,65.5,82.3,74.2,35.0,55.0,45.5
28022,75.5,92.3,84.2,65.5,87.3,76.4,65.5,87.3,76.4,42.5,57.5,49.75,35.5,52.4,43.75
28021,51.0,59.0,55.5,52.5,57.5,55.25,52.5,57.5,55.25,52.1,64.75,58.4,53.1,57.8,55.45
28020,65.5,82.3,74.2,62.5,87.3,75.4,35.5,62.75,48.9,45.5,68.75,57.3,35.5,62.3,48.75
28008,45.0,55.0,50.5,15.0,35.0,25.5,40.0,60.0,52.5,40.0,65.0,52.5,30.0,45.0,37.5
28007,80.0,95.0,88.5,20.0,35.0,27.5,30.0,45.0,37.5,40.0,60.0,52.5,15.0,30.0,22.5
28006,65.5,84.3,77.25,72.5,89.9,83.4,65.5,84.3,75.4,72.5,89.9,83.25,72.5,89.9,81.25
27969,25.5,40.75,32.25,25.0,35.0,30.5,25.5,42.75,33.4,35.0,65.0,47.5,35.5,62.75,48.9
27968,65.5,84.3,76.4,85.5,94.75,90.25,65.5,85.75,76.33,75.5,92.3,86.4,75.5,92.3,85.4
27967,35.4,62.7,48.55,55.0,75.0,65.5,45.5,65.75,55.6,35.5,62.4,48.75,52.5,67.5,59.9
27966,45.0,65.0,55.5,45.5,62.75,54.3,50.0,65.0,57.5,85.5,94.75,91.25,60.0,85.0,75.5
27935,17.2,18.5,17.8,16.5,18.5,17.4,17.5,19.2,18.4,17.5,19.2,18.4,17.5,19.2,18.3
27934,17.1,17.9,17.5,17.1,17.9,17.5,17.1,17.9,17.4,17.1,18.0,17.5,17.1,17.9,17.5
27933,16.5,17.5,17.1,16.5,17.3,16.9,16.5,17.2,17.1,16.5,17.2,16.9,16.5,17.2,16.9
27932,16.1,18.2,17.3,16.5,18.2,17.3,16.1,17.5,16.8,16.5,18.2,17.4,16.1,17.5,16.9
27920,35.5,52.75,44.2,55.7,72.3,64.5,25.5,42.75,34.2,35.5,52.75,44.2,35.5,52.75,44.25
27919,87.5,95.75,92.25,85.5,94.75,91.25,87.5,94.75,91.25,87.5,94.75,92.25,87.5,95.75,92.3
27918,95.0,99.9,98.5,98.5,99.9,99.75,97.5,99.9,98.75,99.5,99.9,99.8,97.5,99.9,98.75
27914,75.5,92.3,86.4,75.5,92.3,86.4,75.5,92.3,84.75,72.5,89.9,81.25,65.5,84.3,75.4
27913,45.5,64.75,55.3,35.5,62.75,48.9,45.5,68.75,57.25,35.5,62.75,48.9,25.1,45.9,35.5
27912,65.5,82.3,74.2,72.5,85.4,79.2,55.5,78.3,67.4,65.5,84.75,75.25,65.5,84.3,75.4
27911,80.0,90.0,85.5,80.5,92.3,87.4,85.5,94.75,91.25,75.5,89.9,82.3,85.0,95.0,91.5
27897,15.5,35.75,24.3,10.0,25.0,15.5,35.5,62.3,48.75,12.5,27.75,19.9,15.5,37.25,24.75
27895,3.5,7.2,5.4,2.5,7.5,4.75,1.5,3.5,2.25,5.5,18.75,12.25,3.5,12.75,7.25
27887,22.5,42.75,32.4,35.5,62.75,48.9,25.5,45.75,35.4,42.5,57.5,49.75,35.5,64.75,49.25
27886,87.5,94.3,91.2,65.5,84.3,75.75,85.5,94.3,91.2,85.5,94.3,90.25,75.5,89.9,82.3
27885,35.5,62.75,48.9,70.0,90.0,82.5,40.5,65.75,53.2,65.5,84.75,76.33,30.0,45.0,37.5
27877,72.5,85.4,79.3,77.5,89.9,83.75,75.5,92.3,85.4,65.5,82.3,73.75,85.5,97.3,92.4
27876,75.5,89.9,82.75,62.5,72.5,67.75,65.5,82.3,74.9,65.5,82.3,74.2,65.5,84.75,76.25
27804,5.5,14.75,9.25,35.5,62.75,48.9,5.5,16.75,11.25,2.5,7.5,4.75,5.0,15.0,8.5
