question_id,geminiflash20_min,geminiflash20_max,geminiflash20_final,geminiflash21_min,geminiflash21_max,geminiflash21_final,geminiflash22_min,geminiflash22_max,geminiflash22_final,geminiflash23_min,geminiflash23_max,geminiflash23_final,geminiflash24_min,geminiflash24_max,geminiflash24_final
30743,65.25,85.45,78.45,60.0,85.0,75.0,65.0,85.0,78.0,78.0,92.0,85.0,60.0,90.0,75.0
30617,65.0,90.0,80.0,60.0,80.0,70.0,65.0,90.0,80.0,65.0,85.0,75.0,55.0,75.0,65.0
30616,80.0,97.0,92.0,70.0,92.0,84.0,78.0,96.0,88.0,65.0,90.0,80.0,87.0,97.0,93.0
30615,85.0,95.0,90.0,70.0,95.0,85.0,89.0,99.9,96.0,80.0,90.0,85.0,75.0,95.0,85.0
30499,65.0,85.0,75.0,15.0,45.0,30.0,84.0,94.0,89.0,10.0,30.0,20.0,5.0,25.0,15.0
30286,65.0,75.0,70.0,55.0,80.0,70.0,55.0,75.0,65.0,65.0,85.0,75.0,60.0,80.0,70.0
30203,30.0,60.0,45.0,50.0,70.0,60.0,60.0,75.0,68.0,35.0,55.0,45.0,45.0,65.0,55.0
30199,0.5,4.5,1.5,35.0,70.0,52.5,0.5,8.0,2.0,2.0,15.0,7.0,0.1,1.0,0.5
30198,10.0,30.0,20.0,30.0,50.0,40.0,20.0,40.0,30.0,30.0,60.0,45.0,20.0,40.0,30.0
30122,8.0,25.0,16.0,12.0,25.0,17.0,28.0,45.0,36.5,10.0,30.0,20.0,15.0,35.0,22.0
30121,25.0,45.0,35.0,40.0,65.0,55.0,64.0,74.0,69.0,25.0,55.0,40.0,28.0,42.0,35.0
30120,32.5,65.0,49.0,18.0,28.0,23.0,25.0,45.0,35.0,20.0,35.0,25.0,10.0,30.0,18.0
30119,25.0,45.0,35.0,30.0,70.0,50.0,30.0,40.0,35.0,15.0,30.0,22.0,35.0,55.0,45.0
30118,10.0,20.0,15.0,20.0,40.0,30.0,10.0,25.0,15.0,15.0,40.0,27.5,25.0,45.0,35.0
