question_id,resolution
28006,0
28155,0
27721,0
27722,0
27723,0
28156,0
26975,0
26844,0
25958,0
30113,1
27733,1
26703,0
29784,0
26778,0
26303,0
27608,0
30616,1
29699,0
27897,0
27283,0
26840,1
28204,0
26095,0
29887,1
27934,0
27447,0
27637,0
26233,1
26986,0
26306,1
30120,0
29277,0
25954,0
28243,0
30119,0
27966,1
27640,0
29706,0
26817,0
27240,1
26387,1
27547,0
26307,1
27638,0
26408,0
26638,1
29012,1
27895,0
26552,0
29431,1
27261,0
26639,0
27089,1
29886,0
29788,0
26232,0
25955,0
26575,1
30008,1
29375,0
26023,0
27604,0
29116,1
29707,0
27967,0
27546,0
26775,0
29066,0
28044,1
26980,0
26821,0
27039,0
26702,0
28008,0
29212,1
26957,0
27748,0
29700,1
27493,0
26158,1
29370,0
29315,1
30198,0
27607,0
27603,0
27911,1
29115,0
27804,0
29371,0
26781,0
27022,0
27138,0
28024,0
26388,0
28039,0
25957,1
26644,0
26773,0
28020,0
27220,0
