question_id,category
26006,Politics & Governance
26667,Science & Tech
27221,Politics & Governance
27969,Arts & Recreation
26392,Science & Tech
27260,Economics & Business
26004,Politics & Governance
28335,Economics & Business
27932,Economics & Business
27238,Economics & Business
27087,Science & Tech
27136,Politics & Governance
28208,Science & Tech
27934,Economics & Business
26838,Economics & Business
25872,Sports
27604,Healthcare & Biology
27484,Economics & Business
27283,Science & Tech
27159,Healthcare & Biology
26701,Economics & Business
26406,Healthcare & Biology
26780,Economics & Business
26211,Sports
28210,Science & Tech
26570,Sports
27721,Economics & Business
26704,Economics & Business
27640,Politics & Governance
27538,Politics & Governance
26096,Economics & Business
27720,Economics & Business
28245,Economics & Business
26159,Science & Tech
25959,Sports
27524,Politics & Governance
27576,Politics & Governance
26576,Healthcare & Biology
27609,Politics & Governance
27583,Healthcare & Biology
27608,Politics & Governance
26645,Politics & Governance
27022,Science & Tech
27138,Economics & Business
26666,Economics & Business
26017,Science & Tech
27262,Science & Tech
27610,Politics & Governance
28155,Economics & Business
27140,Economics & Business
26098,Economics & Business
25873,Economics & Business
26216,Science & Tech
26639,Politics & Governance
26552,Healthcare & Biology
26095,Sports
26195,Healthcare & Biology
28008,Economics & Business
27606,Politics & Governance
27723,Arts & Recreation
26986,Politics & Governance
26391,Politics & Governance
26772,Arts & Recreation
26407,Politics & Governance
26975,Economics & Business
27491,Economics & Business
26019,Science & Tech
28006,Politics & Governance
27157,Politics & Governance
26553,Economics & Business
25957,Sports
26023,Politics & Governance
26387,Economics & Business
27539,Politics & Governance
26957,Politics & Governance
26215,Politics & Governance
28007,Economics & Business
27219,Politics & Governance
26189,Sports
25953,Politics & Governance
26232,Economics & Business
28306,Economics & Business
26389,Economics & Business
28156,Healthcare & Biology
26555,Sports
27603,Healthcare & Biology
27248,Healthcare & Biology
28305,Economics & Business
26839,Science & Tech
28301,Economics & Business
28046,Economics & Business
27241,Politics & Governance
26158,Science & Tech
26979,Environment & Energy
26821,Politics & Governance
26307,Economics & Business
26097,Economics & Business
26778,Environment & Energy
26978,Environment & Energy
26671,Politics & Governance
