question_id,category
30743,Arts & Recreation
30617,Economics & Business
30616,Economics & Business
30615,Economics & Business
30499,Science & Tech
30286,Arts & Recreation
30203,Arts & Recreation
30199,Politics & Governance
30198,Healthcare & Biology
30122,Politics & Governance
30121,Arts & Recreation
30120,Arts & Recreation
30119,Arts & Recreation
30118,Arts & Recreation
30117,Arts & Recreation
30116,Arts & Recreation
30113,Politics & Governance
30068,Arts & Recreation
30008,Arts & Recreation
30006,Arts & Recreation
30005,Economics & Business
30004,Arts & Recreation
29945,Arts & Recreation
29944,Arts & Recreation
29941,Arts & Recreation
29939,Politics & Governance
29937,Politics & Governance
29887,Politics & Governance
29886,Arts & Recreation
29874,Environment & Energy
29873,Environment & Energy
29872,Environment & Energy
29796,Sports
29795,Economics & Business
29789,Politics & Governance
29788,Politics & Governance
29787,Politics & Governance
29786,Politics & Governance
29785,Politics & Governance
29784,Politics & Governance
29783,Sports
29707,Economics & Business
29706,Economics & Business
29705,Economics & Business
29704,Economics & Business
29702,Arts & Recreation
29701,Arts & Recreation
29700,Politics & Governance
29699,Politics & Governance
29696,Arts & Recreation
29637,Politics & Governance
29633,Science & Tech
29632,Sports
29631,Sports
29600,Healthcare & Biology
29595,Economics & Business
29593,Economics & Business
29546,Economics & Business
29545,Politics & Governance
29497,Healthcare & Biology
29496,Healthcare & Biology
29490,Politics & Governance
29485,Economics & Business
29433,Politics & Governance
29432,Politics & Governance
29431,Science & Tech
29430,Politics & Governance
29429,Politics & Governance
29428,Politics & Governance
29427,Politics & Governance
29426,Politics & Governance
29425,Politics & Governance
29424,Politics & Governance
29376,Healthcare & Biology
29375,Politics & Governance
29374,Politics & Governance
29373,Politics & Governance
29372,Politics & Governance
29371,Politics & Governance
29370,Politics & Governance
29369,Politics & Governance
29367,Politics & Governance
29366,Politics & Governance
29320,Politics & Governance
29319,Politics & Governance
29318,Politics & Governance
29317,Politics & Governance
29315,Politics & Governance
29314,Politics & Governance
29313,Politics & Governance
29312,Politics & Governance
29277,Politics & Governance
29276,Economics & Business
29275,Politics & Governance
29274,Politics & Governance
29273,Politics & Governance
29212,Politics & Governance
29209,Economics & Business
29208,Economics & Business
29207,Economics & Business
29201,Politics & Governance
29168,Politics & Governance
29167,Politics & Governance
29163,Politics & Governance
29162,Economics & Business
29161,Politics & Governance
29125,Politics & Governance
29124,Healthcare & Biology
29123,Politics & Governance
29122,Healthcare & Biology
29118,Sports
29117,Sports
29116,Sports
29115,Sports
29114,Sports
29113,Sports
29112,Sports
29111,Sports
29110,Science & Tech
29074,Economics & Business
29070,Economics & Business
29068,Politics & Governance
29067,Politics & Governance
29066,Politics & Governance
29065,Politics & Governance
29064,Politics & Governance
29039,Politics & Governance
29038,Politics & Governance
29012,Economics & Business
29011,Economics & Business
29010,Economics & Business
29008,Economics & Business
28905,Politics & Governance
